0.0 -12555 
2433.5 -47667 
1422.0 -34675 
3790.5 -90123 
3146.0 -77131 
4517.5 -145123 
6801.0 -189268 
8043.5 -201907 
14304.5 -291493 
8795.0 -213449 
5162.0 -158115 
33218.0 -441657 
37910.5 -463701 
35103.0 -454996 
23772.5 -376297 
15180.0 -304132 
17029.5 -311409 
6156.5 -176276 
6144.5 -169304 
19918.0 -344860 
17859.5 -318391 
11868.0 -254368 
10940.0 -250094 
13553.0 -279951 
12725.5 -276030 
11885.5 -263391 
12677.5 -267312 
26409.0 -399271 
26473.5 -403195 
22010.5 -355195 
21055.5 -351409 
23519.5 -367834 
19374.0 -332221 
17905.0 -324048 
19097.0 -327228 
29503.0 -426169 
19914.5 -338465 
19848.0 -335946 
23935.5 -388936 
25598.0 -390556 
31866.0 -430815 
31065.5 -428665 
10856.5 -241376 
28522.0 -413530 
27218.5 -411910 
10064.5 -237455 
10223.0 -239210 
22250.5 -363353 
23323.5 -364048 
9313.0 -225913 
